,x,y,total_counts
15.976x14.037,15.976,14.037,1207
21.844x14.835,21.844,14.835,1619
20.896x14.894,20.896,14.894,1249
19.996x14.918,19.996,14.918,1042
12.062x14.964,12.062,14.964,10516
18.909x14.952,18.909,14.952,1571
23.049x14.968,23.049,14.968,1114
24.066x14.942,24.066,14.942,2350
24.985x14.951,24.985,14.951,9618
25.95x14.954,25.95,14.954,3545
13.006x14.964,13.006,14.964,8824
16.893x14.966,16.893,14.966,738
17.929x14.951,17.929,14.951,1555
13.941x14.978,13.941,14.978,4059
26.999x14.966,26.999,14.966,9600
15.947x14.985,15.947,14.985,2110
27.865x14.971,27.865,14.971,3033
10.821x15.855,10.821,15.855,3100
21.908x15.857,21.908,15.857,3046
23.065x15.944,23.065,15.944,962
27.004x15.931,27.004,15.931,11802
28.956x15.926,28.956,15.926,5764
24.043x15.936,24.043,15.936,2193
27.94x15.929,27.94,15.929,13633
20.869x15.941,20.869,15.941,5313
9.81x15.939,9.81,15.939,1073
25.018x15.941,25.018,15.941,4351
19.985x15.957,19.985,15.957,1434
18.929x15.97,18.929,15.97,1280
13.866x15.962,13.866,15.962,2403
11.987x15.985,11.987,15.985,13803
13.068x15.967,13.068,15.967,5412
14.979x15.978,14.979,15.978,1336
15.909x15.981,15.909,15.981,688
16.925x16.002,16.925,16.002,2362
25.934x16.023,25.934,16.023,5350
17.846x16.113,17.846,16.113,2219
10.825x16.832,10.825,16.832,9831
21.849x16.849,21.849,16.849,3054
9.852x16.928,9.852,16.928,844
14.912x16.965,14.912,16.965,668
23.082x16.936,23.082,16.936,1879
20.946x16.93,20.946,16.93,4018
27.986x16.946,27.986,16.946,4392
18.982x16.954,18.982,16.954,1521
8.932x16.965,8.932,16.965,847
12.022x16.995,12.022,16.995,10726
26.945x16.965,26.945,16.965,2467
28.908x16.97,28.908,16.97,2627
17.887x16.976,17.887,16.976,1529
15.924x16.989,15.924,16.989,832
25.969x16.987,25.969,16.987,8238
16.909x16.994,16.909,16.994,3088
19.898x16.997,19.898,16.997,4251
24.05x17.0,24.05,17.0,1050
12.996x17.01,12.996,17.01,3016
