"","x"
"1","MCL1"
"2","COL6A3"
"3","IGFBP7"
"4","MMP2"
"5","HTRA1"
"6","TNC"
"7","CXCL10"
"8","COL5A2"
"9","POSTN"
"10","LGALS3"
"11","STAT1"
"12","KLF6"
"13","C1R"
"14","HLA.B"
"15","COL6A1"
"16","MMP14"
"17","SPARC"
"18","COL12A1"
"19","PDPN"
"20","ANXA2"
"21","CD74"
"22","COL3A1"
"23","MMP11"
"24","FTL"
"25","HLA.DPB1"
"26","LOX"
"27","C1QA"
"28","CALD1"
"29","GJA1"
"30","SLC38A2"
"31","TMSB4X"
"32","EEF1A1"
"33","CXCL12"
"34","TPM4"
"35","DCN"
"36","AEBP1"
"37","LUM"
"38","HLA.A"
"39","B2M"
"40","SAT1"
"41","ANTXR1"
"42","FABP5"
"43","THBS2"
"44","COL1A2"
"45","APOE"
"46","TIMP3"
"47","C1S"
"48","COL16A1"
"49","PMEPA1"
"50","FBLN2"
"51","SOD2"
"52","C3"
"53","VCAN"
"54","COL1A1"
"55","APOC1"
"56","FCGR3A"
"57","FN1"
"58","IGLL5"
"59","FOS"
"60","CD44"
"61","HLA.DRA"
"62","HMCN1"
"63","HLA.C"
"64","MAFB"
"65","CTSL"
"66","COL10A1"
"67","VIM"
"68","CD55"
"69","PALLD"
"70","SFRP2"
"71","COL6A2"
"72","CTSK"
"73","CRISPLD2"
"74","LRP1"
"75","MXRA5"
"76","MFAP2"
"77","FSTL1"
"78","SULF1"
"79","DPYSL3"
"80","BASP1"
"81","RARRES1"
"82","COL5A1"
"83","TIMP2"
"84","CTHRC1"
"85","GLIS2"
"86","LGMN"
"87","RGS1"
"88","HLA.DRB1"
"89","GJB2"
"90","FGB"
"91","MRC2"
"92","S100A10"
"93","HLA.DPA1"
"94","TGM2"
"95","ADAM12"
"96","ITGA11"
"97","ASPN"
"98","CILP"
"99","CCDC80"
"100","GBP1"
"101","LRRC15"
"102","SPP1"
"103","PRRX1"
"104","SEC23A"
"105","ADAMTS2"
"106","FGG"
"107","FAM177B"
"108","MMP13"
